股票代码,股票名称,上市满一年,总分,时间得分,空间得分,异动得分,缺口得分,龙头得分,转势得分,股价得分,强度得分,热点得分,核心技术信号,风险提示,数据日期,当前价,涨跌幅
sh600019,宝钢股份,True,44.3,0,95,20,40,50,30,90,50,50,MACD死叉; 均线空头排列; 存在up_weak缺口,无,2026-04-13,6.42,0.0
sh601012,隆基绿能,True,43.9,0,95,20,70,50,30,40,50,50,MACD死叉; 均线空头排列; 存在up_medium缺口,无,2026-04-13,17.12,0.0
sh600519,贵州茅台,True,43.2,0,60,20,70,30,85,20,50,50,MACD金叉; MACD在0轴上方; 均线多头排列; 存在up_medium缺口,股价偏高,2026-04-13,1450.0,-0.27
sh600585,海螺水泥,True,41.9,0,95,20,70,30,30,40,50,50,MACD死叉; 均线空头排列; 存在up_medium缺口,无,2026-04-13,22.75,-0.39
sh600030,中信证券,True,41.7,0,80,0,70,30,50,40,60,50,MACD死叉; 存在up_medium缺口; 量比放大(2.6x),无,2026-04-13,25.86,-0.15
sz300750,宁德时代,True,41.2,0,20,0,100,50,75,20,55,50,MACD金叉; MACD在0轴上方; 均线空头排列; 存在up_strong缺口,股价偏高,2026-04-13,420.0,0.96
sz002475,立讯精密,True,40.9,0,20,0,70,50,100,20,55,50,MACD金叉; MACD在0轴上方; 均线多头排列; 存在up_medium缺口,股价偏高,2026-04-13,58.18,0.0
sh601318,中国平安,True,39.3,0,95,20,40,30,50,20,50,50,MACD死叉; 存在up_weak缺口,股价偏高,2026-04-13,58.5,-0.54
sh600309,万华化学,True,39.2,0,40,0,40,50,100,20,50,50,MACD金叉; MACD在0轴上方; 均线多头排列; 存在up_weak缺口,股价偏高,2026-04-13,89.07,0.0
sh600276,恒瑞医药,True,38.8,0,60,20,0,50,100,20,50,50,MACD金叉; MACD在0轴上方; 均线多头排列,股价偏高,2026-04-13,57.06,0.0
sh600276,恒瑞医药,True,38.8,0,60,20,0,50,100,20,50,50,MACD金叉; MACD在0轴上方; 均线多头排列,股价偏高,2026-04-13,57.06,0.0
sh600887,伊利股份,True,38.3,0,80,40,0,50,50,40,50,50,MACD死叉,无,2026-04-13,26.14,0.0
sh601398,工商银行,True,37.9,0,60,0,0,50,65,90,50,50,MACD金叉; MACD在0轴上方,无,2026-04-13,7.33,0.27
sz000333,美的集团,True,37.7,0,60,20,40,30,70,20,50,50,MACD死叉; 均线多头排列; 存在up_weak缺口,股价偏高,2026-04-13,76.35,-0.08
sz000858,五 粮 液,True,37.3,0,95,0,40,30,50,20,50,50,MACD死叉; 存在up_weak缺口,股价偏高,2026-04-13,101.88,-0.19
sh600000,浦发银行,True,34.7,0,95,0,0,30,30,80,50,50,MACD死叉; 均线空头排列,无,2026-04-13,9.86,-0.3
sh601888,中国中免,True,34.7,0,95,0,40,30,30,20,50,50,MACD死叉; 均线空头排列; 存在up_weak缺口,股价偏高,2026-04-13,69.0,-0.06
sz002594,比亚迪,True,32.0,0,40,0,40,50,45,20,50,50,MACD金叉; MACD在0轴上方; 均线空头排列; 存在up_weak缺口,股价偏高,2026-04-13,101.67,0.0
sh601166,兴业银行,True,31.7,0,80,0,0,50,30,40,50,50,MACD死叉; 均线空头排列,无,2026-04-13,18.53,0.0
